category,variable,label,units,type
ivp_header_adrc_visit_information,vmac_id,VMAC ID,,
ivp_header_adrc_visit_information,ptid,ADC Subject ID,,
ivp_header_adrc_visit_information,adcid,Center ID,,
ivp_header_adrc_visit_information,ivp_visitnum,ADC Visit Number #,,
ivp_header_adrc_visit_information,ivp_entry_complete,1. When was data entry completed?,,Datetime
ivp_header_adrc_visit_information,ivp_dataquality,2. Is the record ready to run data quality rules?,,String
ivp_header_adrc_visit_information,ivp_errors,3. Are there data quality errors?,,String
ivp_header_adrc_visit_information,ivp_err_datetime_1,4a. When did this record pass data quality checks?,,Datetime
ivp_header_adrc_visit_information,ivp_err_datetime_2,4b. When did this record pass data quality checks?,,Datetime
ivp_header_adrc_visit_information,ivp_err_datetime_3,4c. When did this record pass data quality checks?,,Datetime
ivp_header_adrc_visit_information,ivp_err_datetime_4,4d. When did this record pass data quality checks?,,Datetime
ivp_header_adrc_visit_information,ivp_err_datetime_5,4e. When did this record pass data quality checks?,,Datetime
ivp_header_adrc_visit_information,ivp_upload_datetime_1,5a. Date of last attempted upload to NACC,,Datetime
ivp_header_adrc_visit_information,ivp_upload_datetime_2,5b. Date of last attempted upload to NACC,,Datetime
ivp_header_adrc_visit_information,ivp_upload_datetime_3,5c. Date of last attempted upload to NACC,,Datetime
ivp_header_adrc_visit_information,ivp_upload_datetime_4,5d. Date of last attempted upload to NACC,,Datetime
ivp_header_adrc_visit_information,ivp_upload_datetime_5,5e. Date of last attempted upload to NACC,,Datetime
ivp_header_adrc_visit_information,ivp_nacc_errors,6. Are there errors from NACC?,,String
ivp_header_adrc_visit_information,ivp_nacc_err_datetime_1,7a. Date NACC errors received,,Datetime
ivp_header_adrc_visit_information,ivp_nacc_err_datetime_2,7b. Date NACC errors received,,Datetime
ivp_header_adrc_visit_information,ivp_nacc_err_datetime_3,7c. Date NACC errors received,,Datetime
ivp_header_adrc_visit_information,ivp_nacc_err_datetime_4,7d. Date NACC errors received,,Datetime
ivp_header_adrc_visit_information,ivp_nacc_err_datetime_5,7e. Date NACC errors received,,Datetime
visit_flow_sheet_notes,vf_arrival_date_time,Arrival - Date & Time,,Datetime
visit_flow_sheet_notes,vf_arrival_location,Arrival - Location,,String
visit_flow_sheet_notes,vf_arrival_team,Arrival - Team Member,,String
visit_flow_sheet_notes,vf_consent_date_time,Consent - Date & Time,,Datetime
visit_flow_sheet_notes,vf_consent_location,Consent - Location,,String
visit_flow_sheet_notes,vf_consent_team,Consent - Team Member,,String
visit_flow_sheet_notes,vf_welcome_date_time,Welcome & Review Paperwork - Date & Time,,Datetime
visit_flow_sheet_notes,vf_welcome_location,Welcome & Review Paperwork - Location,,String
visit_flow_sheet_notes,vf_welcome_team,Welcome & Review Paperwork - Team Member,,String
visit_flow_sheet_notes,vf_blood_date_time,Fasting Bloodwork - Date & Time,,Datetime
visit_flow_sheet_notes,vf_blood_location,Fasting Bloodwork - Location,,String
visit_flow_sheet_notes,vf_blood_team,Fasting Bloodwork - Team Member,,String
visit_flow_sheet_notes,vf_blood_date_time_redraw,Redraw Fasting Bloodwork - Date & Time,,Datetime
visit_flow_sheet_notes,vf_blood_location_redraw,Redraw Fasting Bloodwork - Location,,String
visit_flow_sheet_notes,vf_blood_team_redraw,Redraw Fasting Bloodwork - Team Member,,String
visit_flow_sheet_notes,vf_physical_date_time,Physical Examination - Date & Time,,Datetime
visit_flow_sheet_notes,vf_physical_location,Physical Examination - Location,,String
visit_flow_sheet_notes,vf_physical_team,Physical Examination - Team Member,,String
visit_flow_sheet_notes,vf_breakfast_date_time,Breakfast & Change - Date & Time,,Datetime
visit_flow_sheet_notes,vf_breakfast_location,Breakfast & Change - Location,,String
visit_flow_sheet_notes,vf_breakfast_team,Breakfast & Change - Team Member,,String
visit_flow_sheet_notes,vf_cdr_inf_date_time,Clinical Interview (Informant) - Date & Time,,Datetime
visit_flow_sheet_notes,vf_cdr_inf_location,Clinical Interview (Informant) - Location,,String
visit_flow_sheet_notes,vf_cdr_inf_team,Clinical Interview (Informant) - Team Member,,String
visit_flow_sheet_notes,vf_cdr_ptp_date_time,Clinical Interview (Participant) - Date & Time,,Datetime
visit_flow_sheet_notes,vf_cdr_ptp_location,Clinical Interview (Participant) - Location,,String
visit_flow_sheet_notes,vf_cdr_ptp_team,Clinical Interview (Participant) - Team Member,,String
visit_flow_sheet_notes,vf_transition_date_time,Transition/Bathroom/Snack - Date & Time,,Datetime
visit_flow_sheet_notes,vf_transition_location,Transition/Bathroom/Snack - Between which visit components and where did the transition occur?,,String
visit_flow_sheet_notes,vf_transition_team,Transition/Bathroom/Snack - Team Member,,String
visit_flow_sheet_notes,vf_transition2,Did another transition/bathroom/snack break occur?,,String
visit_flow_sheet_notes,vf_transition2_date_time,Transition/Bathroom/Snack - Date & Time,,Datetime
visit_flow_sheet_notes,vf_transition2_location,Transition/Bathroom/Snack - Between which visit components and where did the transition occur?,,String
visit_flow_sheet_notes,vf_transition2_team,Transition/Bathroom/Snack - Team Member,,String
visit_flow_sheet_notes,vf_transition3,Did another transition/bathroom/snack break occur?,,String
visit_flow_sheet_notes,vf_transition3_date_time,Transition/Bathroom/Snack - Date & Time,,Datetime
visit_flow_sheet_notes,vf_transition3_location,Transition/Bathroom/Snack - Between which visit components and where did the transition occur?,,String
visit_flow_sheet_notes,vf_transition3_team,Transition/Bathroom/Snack - Team Member,,String
visit_flow_sheet_notes,vf_blood_drop_date_time,Drop-off research bloodwork - Date & Time,,Datetime
visit_flow_sheet_notes,vf_blood_drop_location,Drop-off research bloodwork - Location,,String
visit_flow_sheet_notes,vf_blood_drop_team,Drop-off research bloodwork - Team Member,,String
visit_flow_sheet_notes,vf_blood_drop_date_time_redraw,Redraw Drop-off research bloodwork - Date & Time,,Datetime
visit_flow_sheet_notes,vf_blood_drop_location_redraw,Redraw Drop-off research bloodwork - Location,,String
