code,county_fips,geoid,hc.key
37705,47001,47001,us-tn-001
37710,47001,47001,us-tn-001
37716,47001,47001,us-tn-001
37754,47001,47001,us-tn-001
37769,47001,47001,us-tn-001
37828,47001,47001,us-tn-001
37830,47001,47001,us-tn-001
37840,47129,47001,us-tn-129
37849,47093,47001,us-tn-093
37931,47093,47001,us-tn-093
37938,47093,47001,us-tn-093
37018,47031,47003,us-tn-031
37020,47003,47003,us-tn-003
37034,47117,47003,us-tn-117
37060,47149,47003,us-tn-149
37091,47117,47003,us-tn-117
37144,47103,47003,us-tn-103
37153,47149,47003,us-tn-149
37160,47003,47003,us-tn-003
37180,47003,47003,us-tn-003
37183,47003,47003,us-tn-003
37334,47103,47003,us-tn-103
37360,47003,47003,us-tn-003
37388,47031,47003,us-tn-031
38221,47005,47005,us-tn-005
38317,47017,47005,us-tn-017
38320,47005,47005,us-tn-005
38333,47005,47005,us-tn-005
38341,47005,47005,us-tn-005
38380,47039,47005,us-tn-039
38387,47017,47005,us-tn-017
37321,47143,47007,us-tn-143
37327,47153,47007,us-tn-153
37332,47143,47007,us-tn-143
37337,47143,47007,us-tn-143
37338,47007,47007,us-tn-007
37367,47007,47007,us-tn-007
37379,47065,47007,us-tn-065
37381,47143,47007,us-tn-143
38572,47035,47007,us-tn-035
37701,47009,47009,us-tn-009
37737,47009,47009,us-tn-009
37742,47105,47009,us-tn-105
37777,47009,47009,us-tn-009
37801,47009,47009,us-tn-009
37803,47009,47009,us-tn-009
37804,47009,47009,us-tn-009
37853,47009,47009,us-tn-009
37865,47155,47009,us-tn-155
37878,47009,47009,us-tn-009
37882,47009,47009,us-tn-009
37886,47009,47009,us-tn-009
37920,47093,47009,us-tn-093
37307,47139,47011,us-tn-139
37310,47011,47011,us-tn-011
37311,47011,47011,us-tn-011
37312,47011,47011,us-tn-011
37323,47011,47011,us-tn-011
37336,47121,47011,us-tn-121
37353,47011,47011,us-tn-011
37362,47139,47011,us-tn-139
37714,47013,47013,us-tn-013
37715,47025,47013,us-tn-025
37729,47013,47013,us-tn-013
37730,47025,47013,us-tn-025
37756,47151,47013,us-tn-151
37757,47013,47013,us-tn-013
37762,47013,47013,us-tn-013
37766,47013,47013,us-tn-013
37769,47001,47013,us-tn-001
37819,47013,47013,us-tn-013
37847,47013,47013,us-tn-013
37870,47025,47013,us-tn-025
37016,47189,47015,us-tn-189
37026,47015,47015,us-tn-015
37095,47041,47015,us-tn-041
37110,47177,47015,us-tn-177
37118,47149,47015,us-tn-149
37149,47149,47015,us-tn-149
37166,47041,47015,us-tn-041
37190,47015,47015,us-tn-015
37357,47177,47015,us-tn-177
38201,47017,47017,us-tn-017
38220,47017,47017,us-tn-017
38235,47017,47017,us-tn-017
38258,47017,47017,us-tn-017
38305,47113,47017,us-tn-113
38317,47017,47017,us-tn-017
38318,47017,47017,us-tn-017
38321,47017,47017,us-tn-017
38341,47005,47017,us-tn-005
38342,47017,47017,us-tn-017
38344,47017,47017,us-tn-017
38348,47017,47017,us-tn-017
38387,47017,47017,us-tn-017
38390,47017,47017,us-tn-017
37601,47179,47019,us-tn-179
37604,47179,47019,us-tn-179
37640,47091,47019,us-tn-091
37643,47019,47019,us-tn-019
37658,47019,47019,us-tn-019
37682,47019,47019,us-tn-019
37687,47019,47019,us-tn-019
37694,47019,47019,us-tn-019
37015,47021,47021,us-tn-021
37032,47147,47021,us-tn-147
37035,47021,47021,us-tn-021
37036,47043,47021,us-tn-043
37043,47125,47021,us-tn-125
37080,47037,47021,us-tn-037
37082,47021,47021,us-tn-021
37143,47021,47021,us-tn-021
37146,47147,47021,us-tn-147
37187,47043,47021,us-tn-043
37209,47037,47021,us-tn-037
38044,47069,47023,us-tn-069
38313,47113,47023,us-tn-113
38315,47109,47023,us-tn-109
38332,47023,47023,us-tn-023
38334,47109,47023,us-tn-109
38340,47023,47023,us-tn-023
38347,47023,47023,us-tn-023
38352,47023,47023,us-tn-023
38356,47113,47023,us-tn-113
38359,47071,47023,us-tn-071
38366,47113,47023,us-tn-113
38368,47077,47023,us-tn-077
37715,47025,47025,us-tn-025
37724,47025,47025,us-tn-025
37730,47025,47025,us-tn-025
37752,47025,47025,us-tn-025
37825,47025,47025,us-tn-025
37851,47025,47025,us-tn-025
37869,47067,47025,us-tn-067
37870,47025,47025,us-tn-025
37879,47025,47025,us-tn-025
37881,47057,47025,us-tn-057
37150,47111,47027,us-tn-111
38541,47027,47027,us-tn-027
38551,47027,47027,us-tn-027
38568,47133,47027,us-tn-133
38573,47133,47027,us-tn-133
38575,47027,47027,us-tn-027
38588,47087,47027,us-tn-087
37713,47029,47029,us-tn-029
37722,47029,47029,us-tn-029
37727,47029,47029,us-tn-029
37743,47059,47029,us-tn-059
37753,47029,47029,us-tn-029
37818,47059,47029,us-tn-059
37821,47029,47029,us-tn-029
37843,47029,47029,us-tn-029
37018,47031,47031,us-tn-031
37026,47015,47031,us-tn-015
37183,47003,47031,us-tn-003
37330,47051,47031,us-tn-051
37342,47031,47031,us-tn-031
37355,47031,47031,us-tn-031
37357,47177,47031,us-tn-177
